step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
588,CASH_IN,155592.36,C1087271185,20309.0,175901.36,C1868134187,0.0,0.0,0,0
178,PAYMENT,4195.8,C707435599,0.0,0.0,M1649259309,0.0,0.0,0,0
256,CASH_IN,163726.93,C1801014059,2108928.58,2272655.52,C167254194,340586.69,176859.76,0,0
234,CASH_OUT,1063.99,C1623142986,0.0,0.0,C2078250226,13322225.95,13323289.95,0,0
130,CASH_IN,448660.79,C1326348337,7469312.46,7917973.25,C668834786,9457699.73,9009038.93,0,0
350,CASH_IN,15181.34,C1205241107,7575648.34,7590829.69,C1500819407,235769.14,220587.8,0,0
400,CASH_IN,85059.32,C598715748,50.0,85109.32,C1338128040,190464.07,105404.75,0,0
15,CASH_IN,320020.33,C2075905668,1521.0,321541.33,C1039411368,967504.17,647483.84,0,0
140,CASH_OUT,179481.34,C1781696363,7048.0,0.0,C1329444464,723888.21,903369.54,0,0
237,CASH_OUT,95760.99,C426711882,60702.0,0.0,C324605644,0.0,95760.99,0,0
401,CASH_OUT,211454.41,C377293229,26686.0,0.0,C1086094716,685751.78,897206.19,0,0
43,CASH_OUT,358733.59,C456499778,233606.0,0.0,C712879652,0.0,358733.59,0,0
348,CASH_OUT,53887.03,C995776172,5011.0,0.0,C831325861,90035.74,143922.77,0,0
545,CASH_OUT,296599.2,C161505863,21094.0,0.0,C984627487,156712.38,453311.58,0,0
22,PAYMENT,13597.14,C725326752,0.0,0.0,M1033201437,0.0,0.0,0,0
403,CASH_OUT,35158.94,C1613803388,399078.0,363919.06,C163097642,48503.28,83662.22,0,0
16,PAYMENT,246.49,C670413059,0.0,0.0,M129544846,0.0,0.0,0,0
282,TRANSFER,123744.36,C750265329,0.0,0.0,C1000949406,318882.02,442626.38,0,0
205,CASH_OUT,40407.56,C1291145933,219061.04,178653.48,C716775656,197832.71,238240.26,0,0
208,PAYMENT,15682.53,C308425698,106501.0,90818.47,M1581468884,0.0,0.0,0,0
354,PAYMENT,4334.82,C1775895048,0.0,0.0,M1084001002,0.0,0.0,0,0
304,CASH_IN,175176.69,C1345303099,1219.0,176395.69,C275374394,948849.82,773673.13,0,0
383,TRANSFER,469597.77,C700158786,10999.0,0.0,C1436599940,375202.4,844800.17,0,0
307,CASH_OUT,140036.15,C627288962,0.0,0.0,C1630865776,427337.84,567373.99,0,0
201,CASH_IN,157494.74,C320254299,248621.63,406116.37,C846524209,544579.79,387085.05,0,0
208,CASH_OUT,176957.44,C1750340335,8413.0,0.0,C994326712,64821.64,241779.08,0,0
181,CASH_OUT,473265.76,C909193917,31115.0,0.0,C959857874,0.0,473265.76,0,0
301,CASH_IN,338825.17,C1654285255,2060.0,340885.17,C1706437811,0.0,0.0,0,0
379,PAYMENT,16046.0,C1620780191,34957.0,18911.0,M952449611,0.0,0.0,0,0
208,PAYMENT,4579.86,C1137433865,6462.96,1883.1,M1809034006,0.0,0.0,0,0
230,PAYMENT,37740.03,C1629368681,61540.55,23800.52,M1578896261,0.0,0.0,0,0
351,CASH_IN,179661.27,C146205397,4219381.1,4399042.37,C1670419485,7130127.14,6950465.87,0,0
10,CASH_OUT,523877.83,C1968400585,7924.0,0.0,C1895565710,153709.64,3243810.21,0,0
249,CASH_IN,183292.71,C30917629,25581.0,208873.71,C864839294,0.0,0.0,0,0
134,CASH_IN,144619.5,C1297602280,26846739.97,26991359.48,C1469234158,2321635.39,2177015.88,0,0
183,CASH_OUT,251961.4,C1675028298,10558.0,0.0,C1621496311,0.0,251961.4,0,0
206,TRANSFER,461338.47,C1836552386,106.0,0.0,C767896143,257861.43,719199.91,0,0
380,CASH_OUT,75091.0,C1835675897,29739.0,0.0,C1626583946,2031172.49,2106263.49,0,0
162,CASH_OUT,105887.17,C471280701,0.0,0.0,C1656241825,660761.11,819942.48,0,0
329,CASH_IN,228071.33,C2045583860,7495589.42,7723660.75,C252221449,1201284.08,973212.75,0,0
186,PAYMENT,20192.72,C1543344432,257052.0,236859.28,M654638920,0.0,0.0,0,0
476,PAYMENT,1911.96,C111138955,0.0,0.0,M755613986,0.0,0.0,0,0
395,TRANSFER,57905.44,C927602728,0.0,0.0,C194533964,129605.29,187510.73,0,0
